Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),IBS_R,IBS_T,IBS_N,IBS_time,OBS_R,OBS_T,OBS_N
2023-07-30,0.771942894175158,3.78486414438564,-86.5373170700623,-74.9298154672182,-111.542182050314,-0.0181490043488282,-166.35376154702,-91.576060909474,-0.0537681861147643,0.1379867023533266,0.1831445270646068,419.0,-0.164050062926737,0.1988869345454365,0.0968517208503258
2023-07-31,0.762667533407557,3.95907707265077,-85.6866339582592,-74.0981670380195,-111.451701514348,-0.0181490043488282,-166.25378596016,-91.5554229202393,-0.0301385307316913,0.1697210930389986,0.1923479239019113,419.0,-0.1326849491839914,0.2014789268478775,0.103967995561005
2023-08-01,0.753017896116662,3.90849912573508,-85.9066382113117,-74.3720024964142,-111.366753823674,0.018214618142963,-166.112032285298,-91.5249144017388,-0.0338788692866458,0.1357052435502585,0.1853725293833602,419.0,-0.1079369723019918,0.118091187600253,0.0950101888561467
2023-08-02,0.743003154112632,3.98436604610861,-86.439537402039,-74.9653126562693,-111.26950971108,-0.0181490043488282,-166.0564697886,-91.5129109798445,-0.0762594295223732,0.1189737122908893,0.1737284725797202,389.0,-0.1482352231881163,0.1068593272251272,0.1256713677625566
2023-08-03,0.732632891864791,4.12205045715685,-86.5128721530565,-75.2492901686786,-112.026774344838,0.018214618142963,-165.919895995836,-91.4817801888467,-0.1032483118487215,0.108252344534233,0.0899023299164667,389.0,-0.1834701553428962,0.1269790387007586,0.0923169364735942
2023-08-04,0.721917106041617,4.10238125557854,-86.0679746635502,-74.7878267110135,-113.684411527171,29.8000214389258,-165.794776308554,-91.4523188047552,-0.1233566152487718,0.1103830490194458,0.0777055745749585,388.96875,-0.2105339474753028,0.1525794064749313,0.1110310329933414
2023-08-05,0.710866204221607,4.10800102745805,-86.0581966967479,-74.7117613059039,-113.916905389466,29.8000214389258,-165.698530065143,-91.4281360080538,-0.0878981342739769,0.0987338372374462,0.0346651984633202,388.96875,-0.1705255983991798,0.1491979037076904,0.066359369033785
2023-08-06,0.699491006556566,4.09395159775925,-86.0337517797421,-74.7219033599185,-113.898291939454,29.8000214389258,-165.591203079747,-91.4020949769297,-0.0641307245600382,0.0913669484267793,-0.0140864073101751,388.96875,-0.1536314687682852,0.1436626600925037,0.0250797642428412
2023-08-07,0.687802743500578,4.18105806189182,-86.0533077133468,-74.8182528730574,-113.823083300992,29.8000214389258,-165.505998954509,-91.378345625209,-0.0356871873652267,0.1038168505581576,-0.0519095209566191,389.0,-0.1393528408197425,0.1583601336627005,0.0144964136212928
2023-08-08,0.675813054347039,4.23725578068702,-86.087530597155,-74.8841762241524,-113.752069076304,29.8000214389258,-165.404641493552,-91.3485709591016,-0.0375632660166964,0.0957741533597973,-0.0555729112812151,389.0,-0.1575337440435634,0.1487780477264656,0.0291014797480132
2023-08-09,0.66353398664329,4.27940406978342,-86.0826416137538,-74.9703836832766,-113.679722380469,29.8000214389258,-165.343002184054,-91.3304392259936,-0.0796110145139892,0.0997004140967472,-0.0332269334739665,389.0,-0.2218033727150075,0.1664076891900249,0.0747351279325303
